id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121935,1,LRIO,GRIOJANG,GENERACION RIOJANA SA,Turbina a gas,TG,0.99163970567183,2020-05-05 11:07:57.624983,67,2017-01-01
121936,1,LRIS,CTLARSSG,CT LA RIOJA SUR- SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121937,1,LVAR,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121938,1,MAGD,CTMAGAPG,CT MAGDALENA - APR ENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121939,1,MATHEU,CTMATHEG,CT MATHEU - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121940,1,MDAJ,CATLANTG,C.COSTA ATLANTICA,Turbina a gas,TG,0.9407988587731811,2020-05-05 11:07:57.624983,67,2017-01-01
121941,1,MDPA,CATLANTG,C.COSTA ATLANTICA,Turbina a gas,TG,0.8063915907547686,2020-05-05 11:07:57.624983,67,2017-01-01
121942,1,MDPA,CATLANTG,C.COSTA ATLANTICA,Turbovapor,TV,0.8419319635734177,2020-05-05 11:07:57.624983,67,2017-01-01
121943,1,MIR1,CTMIRMEG,CT MIRAMAR I - ENERGYST,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121944,1,MJUA,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.3365445859872611,2020-05-05 11:07:57.624983,67,2017-01-01
121945,1,MMAR,GMEDIPLG,GEN.MEDITERRANEA (CONT.PLUS),Turbina a gas,TG,0.9799347767007882,2020-05-05 11:07:57.624983,67,2017-01-01
121946,1,MMAR,GMEDIT5G,GEN.MEDITERRANEA GRUPO 5,Turbina a gas,TG,0.9790379563366246,2020-05-05 11:07:57.624983,67,2017-01-01
121947,1,MMAR,GMEDITEG,GENERACION MEDITERRANEA,Ciclos Combinados,CC,0.9996397355972558,2020-05-05 11:07:57.624983,67,2017-01-01
121948,1,NECO,CATLANTG,C.COSTA ATLANTICA,Turbovapor,TV,0.5857275733774288,2020-05-05 11:07:57.624983,67,2017-01-01
121949,1,NPUE,CPUERTOG,CENTRAL PUERTO SA,Ciclos Combinados,CC,0.9953881358419016,2020-05-05 11:07:57.624983,67,2017-01-01
121950,1,NPUE,CPUERTOG,CENTRAL PUERTO SA,Turbovapor,TV,0.9139753494575324,2020-05-05 11:07:57.624983,67,2017-01-01
121951,1,OBER,EMISSANG,EMSA GENERACION,Turbina a gas,TG,0.897992700729927,2020-05-05 11:07:57.624983,67,2017-01-01
121952,1,OLAD,CTOLAVAG,CT OLAVARRIA - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121953,1,OLPA,EDELARFG,EDELAR GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121954,1,ORAD,CTORANSG,CT ORAN - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121955,1,PARA,CTPARANG,CT PARANA - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121956,1,PATA,ESURESUG,ENERGIA DEL SUR S.A.,Ciclos Combinados,CC,0.9540726924476302,2020-05-05 11:07:57.624983,67,2017-01-01
121957,1,PEHU,CTPEHUSG,CT PEHUAJO - SOENERGY,Motor Diesel,DI,0.8202519832011199,2020-05-05 11:07:57.624983,67,2017-01-01
121958,1,PICA,CTPINDSG,CT PARQUE INDUSTR.CATAM-SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121959,1,PILA,CTPILARG,CT PILAR - EPEC,Ciclos Combinados,CC,0.9695425989595524,2020-05-05 11:07:57.624983,67,2017-01-01
121960,1,PILA,EPECORDG,EPEC GENERACION,Turbovapor,TV,0.3031953986259786,2020-05-05 11:07:57.624983,67,2017-01-01
121961,1,PINA,CTPINAMG,CT PINAMAR - EMGASUD,Turbina a gas,TG,0.9921906693711968,2020-05-05 11:07:57.624983,67,2017-01-01
121962,1,PIQI,CTPIQUIG,CENTRAL TERMICA PIQUIRENDA,Motor Diesel,DI,0.9895158481365376,2020-05-05 11:07:57.624983,67,2017-01-01
121963,1,PIRA,CTPIRASG,CT PIRANE - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121964,1,PMAD,CTPATAGG,C.T. PATAGONICAS SA,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121965,1,PNUE,CPUERTOG,CENTRAL PUERTO SA,Turbovapor,TV,0.9476461266301291,2020-05-05 11:07:57.624983,67,2017-01-01
121966,1,PPAT,CTPATRTG,CT PASO LA PATRIA-TURBODISEL,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121967,1,PPNO,GENELTUG,GENERADORA ELEC.TUCUMAN SA,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121968,1,PTR1,CTPATAGG,C.T. PATAGONICAS SA,Turbina a gas,TG,0.4595413140981181,2020-05-05 11:07:57.624983,67,2017-01-01
121969,1,PZUE,EDELARFG,EDELAR GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121970,1,RAFA,CTRAFASG,CT RAFAELA - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121971,1,RCHI,CTRIOCHG,CT RIO CHICO - SPSE,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121972,1,RCUA,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.3956696878147029,2020-05-05 11:07:57.624983,67,2017-01-01
121973,1,REAL,CTREALSG,CT REALICO - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121974,1,RESC,CTREMEAG,C.T.REMED.DE ESCALADA -AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121975,1,RSAU,CTMEDANG,C.MEDANITOS-RINCON SAUCES,Motor Diesel,DI,0.9302653128070748,2020-05-05 11:07:57.624983,67,2017-01-01
121976,1,RTER,GENCORDG,GENERADORA CORDOBA S.A.,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121977,1,SARC,HTSANJUG,HIDROTERMICA SAN JUAN,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121978,1,SFR2,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121979,1,SFRA,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.8541052689563995,2020-05-05 11:07:57.624983,67,2017-01-01
121980,1,SLTO,CTSATOSG,CT SALTO - SOENERGY,Motor Diesel,DI,0.8563197026022306,2020-05-05 11:07:57.624983,67,2017-01-01
121981,1,SMTU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,Ciclos Combinados,CC,0.957764066402233,2020-05-05 11:07:57.624983,67,2017-01-01
121982,1,SNIC,CTSNICOG,C.TERMICA SAN NICOLAS,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
